MAE_train,MAE_val,R2_train,R2_val,epoch,step,train_loss,val_loss
,1.754346489906311,,0.39140936732292175,0,49,,4.55708122253418
2.061091661453247,,-0.21171291172504425,,0,49,6.676962852478027,
,2.012197256088257,,0.04549795016646385,1,99,,7.14724063873291
1.5007373094558716,,0.42681649327278137,,1,99,3.733847141265869,
,1.5673422813415527,,0.44128096103668213,2,149,,4.183647155761719
1.3397064208984375,,0.5291827917098999,,2,149,3.1349453926086426,
,1.339377760887146,,0.5368657112121582,3,199,,3.4679152965545654
0.9902516007423401,,0.7045390605926514,,3,199,1.797480821609497,
,1.2080662250518799,,0.5890320539474487,4,249,,3.0772979259490967
0.8804910778999329,,0.782002866268158,,4,249,1.3819899559020996,
,1.2080662250518799,,0.5890320539474487,5,250,,3.0772979259490967
