R2_val,val_loss,MAE_val,step,epoch,train_loss,MAE_train,R2_train
-0.0321347713470459,32.24723815917969,4.455746650695801,6,0,,,
,,,6,0,23.277400970458984,3.8403048515319824,-0.008333733305335045
-0.00026416778564453125,31.22894859313965,4.40280818939209,13,1,,,
,,,13,1,24.704174041748047,3.9788358211517334,-0.04570038244128227
-0.010184645652770996,31.556047439575195,4.418137073516846,20,2,,,
,,,20,2,24.63524627685547,3.9775125980377197,-0.022752268239855766
-0.006404280662536621,31.434650421142578,4.413265705108643,27,3,,,
,,,27,3,24.213237762451172,3.896625280380249,-0.037312135100364685
-0.000713348388671875,31.2453670501709,4.404026031494141,34,4,,,
,,,34,4,24.847015380859375,4.002223491668701,-0.05613706633448601
-0.000713348388671875,31.2453670501709,4.404026031494141,35,5,,,
