AUROC_train,AUROC_val,Accuracy_train,Accuracy_val,epoch,step,train_loss,val_loss
,0.7826675176620483,,0.31736525893211365,0,10,,2.1067750453948975
0.6339411735534668,,0.15915915369987488,,0,10,2.2440896034240723,
,0.8566834926605225,,0.4491018056869507,1,21,,1.5873621702194214
0.8126409649848938,,0.38138139247894287,,1,21,1.8081413507461548,
,0.9002764821052551,,0.5089820623397827,2,32,,1.428915023803711
0.8592145442962646,,0.5525525808334351,,2,32,1.374993085861206,
,0.9099653959274292,,0.598802387714386,3,43,,1.242819905281067
0.8825592994689941,,0.6096096038818359,,3,43,1.1335220336914062,
,0.945070207118988,,0.6766467094421387,4,54,,0.983796238899231
0.9430025219917297,,0.7237237095832825,,4,54,0.8060542941093445,
,0.9134557843208313,,0.6047903895378113,5,65,,1.4075074195861816
0.9369614720344543,,0.7897897958755493,,5,65,0.6033480763435364,
,0.9307189583778381,,0.652694582939148,6,76,,1.1856406927108765
0.9231445789337158,,0.8348348140716553,,6,76,0.5014015436172485,
,0.941655158996582,,0.6766467094421387,7,87,,1.2733336687088013
0.9683413505554199,,0.8528528809547424,,7,87,0.44107353687286377,
,0.9383543133735657,,0.7005987763404846,8,98,,1.3066242933273315
0.9585100412368774,,0.8978978991508484,,8,98,0.3151884973049164,
,0.9460490345954895,,0.7065868377685547,9,109,,1.2122632265090942
0.9731578230857849,,0.8888888955116272,,9,109,0.3555540442466736,
,0.9359790682792664,,0.688622772693634,10,120,,1.232008934020996
0.9784157276153564,,0.8858858942985535,,10,120,0.35273343324661255,
,0.9463890194892883,,0.7005987763404846,11,131,,1.3220603466033936
0.9276164174079895,,0.9069069027900696,,11,131,0.2633002996444702,
,0.946104884147644,,0.7365269660949707,12,142,,1.39021897315979
0.9910919666290283,,0.9579579830169678,,12,142,0.1377371847629547,
,0.9241564869880676,,0.682634711265564,13,153,,1.817239761352539
0.9590858221054077,,0.9789789915084839,,13,153,0.08907199651002884,
,0.9512335658073425,,0.7245509028434753,14,164,,1.5170165300369263
0.9492360949516296,,0.9729729890823364,,14,164,0.07843673229217529,
,0.931481659412384,,0.7065868377685547,15,175,,1.9941521883010864
0.9587569832801819,,0.9639639854431152,,15,175,0.0941457748413086,
,0.9412515759468079,,0.688622772693634,16,186,,1.785629391670227
0.9671602249145508,,0.9339339137077332,,16,186,0.20612195134162903,
,0.9457356333732605,,0.71257483959198,17,197,,1.6283986568450928
0.9770927429199219,,0.9699699878692627,,17,197,0.12054643779993057,
,0.9470470547676086,,0.7245509028434753,18,208,,1.6090983152389526
0.9553839564323425,,0.9819819927215576,,18,208,0.06344563513994217,
,0.949259877204895,,0.7305389046669006,19,219,,1.6684529781341553
0.9690691232681274,,0.9939939975738525,,19,219,0.02814563177525997,
,0.949259877204895,,0.7305389046669006,20,220,,1.6684529781341553
