AUROC_train,AUROC_val,Accuracy_train,Accuracy_val,epoch,step,train_loss,val_loss
,0.8109734058380127,,0.3313252925872803,0,10,,2.070819139480591
0.5759550929069519,,0.128742516040802,,0,10,2.267119884490967,
,0.9012018442153931,,0.5481927990913391,1,21,,1.4829578399658203
0.7356675863265991,,0.36227545142173767,,1,21,1.9289352893829346,
,0.9310811758041382,,0.5421686768531799,2,32,,1.2377947568893433
0.8550645112991333,,0.529940128326416,,2,32,1.4113799333572388,
,0.9389823079109192,,0.5843373537063599,3,43,,1.171400547027588
0.8730148673057556,,0.553892195224762,,3,43,1.2127703428268433,
,0.9416211843490601,,0.6265060305595398,4,54,,0.9819008708000183
0.9068763256072998,,0.6227545142173767,,4,54,1.020788550376892,
,0.9546148180961609,,0.7108433842658997,5,65,,0.8595914840698242
0.9480078220367432,,0.757485032081604,,5,65,0.6871430277824402,
,0.9562905430793762,,0.740963876247406,6,76,,0.8770766854286194
0.9039410948753357,,0.8383233547210693,,6,76,0.4771135151386261,
,0.9658576250076294,,0.7771084308624268,7,87,,0.8168801069259644
0.9382314085960388,,0.8592814207077026,,7,87,0.3971540331840515,
,0.954479992389679,,0.740963876247406,8,98,,1.1002202033996582
0.9523741006851196,,0.8682634830474854,,8,98,0.4199303686618805,
,0.9661170244216919,,0.740963876247406,9,109,,0.8796310424804688
0.9321852922439575,,0.8922155499458313,,9,109,0.3719038963317871,
,0.9644931554794312,,0.7469879388809204,10,120,,0.8598518967628479
0.9545029401779175,,0.8982036113739014,,10,120,0.34991616010665894,
,0.9646794199943542,,0.7951807379722595,11,131,,0.7797168493270874
0.9461645483970642,,0.92514967918396,,11,131,0.24009163677692413,
,0.9503931999206543,,0.7228915691375732,12,142,,1.2975250482559204
0.9849154353141785,,0.9341317415237427,,12,142,0.19615216553211212,
,0.9729564785957336,,0.7831325531005859,13,153,,0.91358882188797
0.960773229598999,,0.9371257424354553,,13,153,0.22904333472251892,
,0.9613568186759949,,0.7771084308624268,14,164,,0.9031873941421509
0.9236194491386414,,0.9640718698501587,,14,164,0.12903402745723724,
,0.9742139577865601,,0.7891566157341003,15,175,,0.9705705046653748
0.9861661195755005,,0.985029935836792,,15,175,0.059587445110082626,
,0.9711657762527466,,0.7771084308624268,16,186,,1.152775764465332
0.906586766242981,,1.0,,16,186,0.022323433309793472,
,0.9704211950302124,,0.7951807379722595,17,197,,1.205881118774414
0.9916167855262756,,0.9970059990882874,,17,197,0.01325842272490263,
,0.9762498736381531,,0.7891566157341003,18,208,,1.2777605056762695
0.9670658707618713,,1.0,,18,208,0.005484640598297119,
,0.9692161083221436,,0.7831325531005859,19,219,,1.3598297834396362
0.9257484674453735,,0.9970059990882874,,19,219,0.006687541026622057,
,0.9708513021469116,,0.7831325531005859,20,230,,1.3328361511230469
0.9479042291641235,,0.9970059990882874,,20,230,0.010483458638191223,
,0.9696443676948547,,0.7891566157341003,21,241,,1.30500328540802
0.95329350233078,,0.9940119981765747,,21,241,0.01519269123673439,
,0.9696070551872253,,0.7530120611190796,22,252,,1.427859902381897
0.938284695148468,,0.985029935836792,,22,252,0.0586254708468914,
,0.96915602684021,,0.7469879388809204,23,263,,1.3475046157836914
0.9585355520248413,,0.970059871673584,,23,263,0.10182002931833267,
,0.9576603770256042,,0.759036123752594,24,274,,0.9972028732299805
0.9731364250183105,,0.92514967918396,,24,274,0.30466505885124207,
,0.9566994309425354,,0.7469879388809204,25,285,,1.003520131111145
0.9550960063934326,,0.9191616773605347,,25,285,0.27941352128982544,
,0.9660655856132507,,0.7530120611190796,26,296,,0.9990260004997253
0.9955809116363525,,0.9520958065986633,,26,296,0.13179171085357666,
,0.9660655856132507,,0.7530120611190796,27,297,,0.9990260004997253
